LEAID,grad_rate
1600480,72.0
1600510,76.0
1600600,81.0
1600660,85.0
1600780,88.0
1600930,81.0
1600960,82.0
1601020,79.0
1601050,82.0
1601110,87.0
1601140,87.0
1601260,82.0
1601530,76.0
1601570,89.0
1601590,78.0
1601710,92.0
1601770,85.0
1601800,92.0
1601860,85.0
1601920,90.0
1602100,87.0
1602130,85.0
1602190,77.0
1602220,82.0
1602250,83.0
1602340,82.0
1602520,52.0
1602580,82.0
1602640,90.0
1602670,86.0
1602910,95.0
1602970,92.0
1603090,92.0
1603180,87.0
1603240,77.0
1603330,87.0
1700005,92.0
1700006,72.0
1700044,82.0
1700110,57.0
1700320,92.0
1701403,92.0
1703600,81.0
1703780,92.0
1703870,97.0
1704020,90.0
1704170,93.0
1704680,71.0
1704710,82.0
1704770,92.0
1704920,93.0
1705050,97.0
1705220,95.0
1705310,82.0
1705640,91.0
1705790,92.0
1705970,87.0
1706120,95.0
1706420,82.0
1706480,89.0
1706540,87.0
1706960,94.0
1707050,88.0
1707650,87.0
1707830,97.0
1708010,92.0
1708040,70.0
1708280,87.0
1708370,89.0
1708400,93.0
1708430,77.0
1708550,92.0
1708640,95.0
1709300,79.0
1709420,84.0
1709600,92.0
1709930,77.0
1710440,87.0
1710530,92.0
1710650,90.0
1710740,92.0
1710820,82.0
1711250,94.0
1711370,97.0
1711790,74.0
1711850,76.0
1712000,84.0
1712330,79.0
1712570,94.0
1712700,97.0
1712760,92.0
1712990,82.0
1713230,95.0
1713290,92.0
1713320,75.0
1713530,92.0
1713560,92.0
1713710,86.0
1713940,89.0
1713970,95.0
1714100,88.0
1714430,95.0
1714490,92.0
1714580,95.0
1715030,94.0
1715840,92.0
1715900,77.0
1716080,86.0
1716350,98.0
1716380,98.0
1716410,92.0
1716830,93.0
1717280,72.0
1717340,91.0
1717550,97.0
1717730,92.0
1718240,81.0
1718270,87.0
1718420,72.0
1718810,87.0
1718840,95.0
1718990,92.0
1719080,95.0
1719200,87.0
1719320,92.0
1719560,97.0
1719620,93.0
1719660,77.0
1719830,92.0
1719970,87.0
1720280,73.0
1720380,92.0
1720430,86.0
1720490,92.0
1720610,78.0
1720760,88.0
1721000,82.0
1721780,97.0
1721840,95.0
1721900,96.0
1722110,86.0
1722500,97.0
1722740,88.0
1722830,98.0
1722950,83.0
1723050,80.0
1723070,97.0
1723200,95.0
1723350,95.0
1723880,95.0
1723920,87.0
1724060,91.0
1724090,94.0
1724390,92.0
1724480,97.0
1724570,92.0
1724600,79.0
1724750,92.0
1724940,96.0
1725000,87.0
1725050,96.0
1725320,95.0
1725650,87.0
1725690,95.0
1725770,97.0
1726180,77.0
1726340,93.0
1726400,91.0
1726550,95.0
1726640,95.0
1726800,92.0
1726880,78.0
1727360,85.0
1727390,92.0
1727570,90.0
1727610,82.0
1727710,98.0
1728200,98.0
1728530,93.0
1728620,92.0
1728700,92.0
1729010,97.0
1729220,92.0
1729280,94.0
1729790,90.0
1729890,92.0
1730160,92.0
1730270,97.0
1730330,85.0
1730450,95.0
1731110,83.0
1731230,72.0
1731290,92.0
1731500,92.0
1731620,92.0
1731740,95.0
1731770,92.0
1731920,92.0
1732220,95.0
1732580,97.0
1732700,92.0
1732910,77.0
1733000,91.0
1733240,87.0
1733270,88.0
1733380,95.0
1733420,85.0
1733510,95.0
1733720,93.0
1734020,95.0
1734100,92.0
1734230,92.0
1734290,93.0
1734320,95.0
1734380,87.0
1734410,79.0
1734510,65.0
1734990,89.0
1735010,87.0
1735190,87.0
1735370,92.0
1735850,95.0
1736180,95.0
1737080,75.0
1737170,96.0
1737350,98.0
1737410,92.0
1738100,79.0
1738460,96.0
1738700,92.0
1738940,97.0
1738970,78.0
1739120,92.0
1739420,87.0
1739870,95.0
1739960,80.0
1740070,88.0
1740140,87.0
1740440,95.0
1740470,77.0
1740800,94.0
1740980,91.0
1741070,92.0
1741190,88.0
1741250,72.0
1741580,77.0
1741690,96.0
1741980,95.0
1742180,94.0
1742310,87.0
1742480,95.0
1742630,92.0
1742790,95.0
1743330,95.0
1743890,84.0
1743960,90.0
1800025,82.0
1800030,96.0
1800041,95.0
1800052,95.0
1800058,95.0
1800081,38.0
1800093,16.0
1800098,51.0
1800106,27.0
1800112,67.0
1800118,92.0
1800120,95.0
1800135,32.0
1800142,32.0
1800150,94.0
1800179,22.0
1800186,2.0
1800240,92.0
1800270,97.0
1800360,90.0
1800390,95.0
1800420,92.0
1800450,90.0
1800480,95.0
1800570,92.0
1800630,94.0
1800690,95.0
1800840,93.0
1800900,92.0
1800960,95.0
1801020,98.0
1801050,95.0
1801200,97.0
1801440,95.0
1801560,95.0
1801590,88.0
1801890,91.0
1801920,95.0
1802040,95.0
1802280,95.0
1802400,89.0
1802440,92.0
1802460,92.0
1802490,97.0
1802550,92.0
1802610,95.0
1802640,88.0
1802660,92.0
1802800,93.0
1802830,97.0
1802850,89.0
1802880,69.0
1802970,94.0
1803000,92.0
1803030,95.0
1803120,95.0
1803150,95.0
1803270,90.0
1803450,81.0
1803480,87.0
1803510,91.0
1803630,87.0
1803660,87.0
1803690,94.0
1803700,95.0
1803750,98.0
1803840,95.0
1803870,84.0
1803930,85.0
1803940,95.0
1803960,95.0
1803990,95.0
1804050,93.0
1804080,95.0
1804110,94.0
1804140,95.0
1804170,95.0
1804260,92.0
1804320,82.0
1804350,95.0
1804470,95.0
1804560,92.0
1804590,93.0
1804620,82.0
1804710,95.0
1804770,77.0
1804980,87.0
1805190,94.0
1805280,95.0
1805340,95.0
1805370,92.0
1805400,81.0
1805450,93.0
1805460,95.0
1805520,92.0
1805550,91.0
1805580,91.0
1805670,92.0
1805700,92.0
1805790,93.0
1806030,97.0
1806090,95.0
1806120,85.0
1806270,95.0
1806390,96.0
1806510,93.0
1806570,84.0
