LEAID,total_enrollment,num_schools_reporting,mean_school_absent_rate,weighted_absent_rate
3418210,20.0,2,0.0,0.0
3418240,21.0,1,4.761904761904762,4.761904761904762
3418270,47.0,1,6.382978723404255,6.382978723404255
3418300,78.0,3,0.0,0.0
3418330,138.0,4,0.423728813559322,0.7246376811594203
3418360,87.0,5,0.0,0.0
3500001,18.0,2,0.0,0.0
3500010,3698.0,18,2.560808907715222,2.0822065981611684
3500030,561.0,14,1.4265715127784093,1.7825311942959001
3500060,7300.0,157,8.40985755955703,8.10958904109589
3500090,14.0,3,4.761904761904762,7.142857142857143
3500106,125.0,1,0.0,0.0
3500107,7.0,1,0.0,0.0
3500108,377.0,1,0.5305039787798408,0.5305039787798408
3500109,10.0,1,0.0,0.0
3500110,265.0,1,12.452830188679245,12.452830188679245
3500111,87.0,1,13.793103448275861,13.793103448275861
3500112,70.0,1,0.0,0.0
3500116,21.0,1,0.0,0.0
3500117,218.0,1,5.5045871559633035,5.5045871559633035
3500118,19.0,1,0.0,0.0
3500119,37.0,1,2.7027027027027026,2.7027027027027026
3500120,1153.0,10,0.4243060869325519,0.6071118820468343
3500121,3.0,1,0.0,0.0
3500122,64.0,1,0.0,0.0
3500123,1.0,1,0.0,0.0
3500124,65.0,1,1.5384615384615385,1.5384615384615385
3500126,40.0,1,0.0,0.0
3500127,10.0,1,0.0,0.0
3500128,217.0,1,1.3824884792626728,1.3824884792626728
3500129,97.0,1,0.0,0.0
3500130,1.0,1,0.0,0.0
3500131,20.0,1,0.0,0.0
3500134,8.0,1,12.5,12.5
3500135,7.0,1,0.0,0.0
3500136,22.0,1,9.090909090909092,9.090909090909092
3500137,111.0,1,0.0,0.0
3500138,21.0,1,9.523809523809524,9.523809523809524
3500142,78.0,1,11.538461538461538,11.538461538461538
3500143,24.0,1,0.0,0.0
3500148,101.0,1,3.9603960396039604,3.9603960396039604
3500150,719.0,7,1.9440177359953477,2.086230876216968
3500151,69.0,1,0.0,0.0
3500152,63.0,1,6.349206349206349,6.349206349206349
3500153,97.0,1,0.0,0.0
3500154,52.0,1,0.0,0.0
3500156,157.0,1,7.006369426751593,7.006369426751593
3500160,761.0,1,0.0,0.0
3500161,1.0,1,0.0,0.0
3500162,117.0,1,0.0,0.0
3500163,36.0,1,0.0,0.0
3500164,5.0,1,0.0,0.0
3500167,87.0,1,1.1494252873563218,1.1494252873563218
3500168,77.0,1,0.0,0.0
3500169,86.0,1,0.0,0.0
3500170,23.0,1,13.043478260869565,13.043478260869565
3500171,52.0,1,21.153846153846153,21.153846153846153
3500172,16.0,1,0.0,0.0
3500173,25.0,1,0.0,0.0
3500175,11.0,1,0.0,0.0
3500176,3.0,1,0.0,0.0
3500177,5.0,1,0.0,0.0
3500180,757.0,11,7.746681871649241,7.265521796565389
3500182,24.0,1,12.5,12.5
3500210,901.0,10,2.6547056864592173,5.105438401775806
3500240,643.0,7,9.665885488281786,10.26438569206843
3500270,57.0,3,0.0,0.0
3500300,765.0,12,6.26809752050043,5.620915032679738
3500330,34.0,3,0.0,0.0
3500390,1336.0,15,3.716271387845709,3.2934131736526946
3500420,61.0,4,0.0,0.0
3500480,68.0,4,0.0,0.0
3500510,85.0,4,0.0,0.0
3500540,78.0,3,0.0,0.0
3500570,2128.0,16,3.8220782481650324,2.4906015037593985
3500600,287.0,6,0.0,0.0
3500630,16.0,2,0.0,0.0
3500660,141.0,3,4.583053878828527,4.964539007092198
3500690,1723.0,11,4.507767996252011,3.946604759141033
3500720,25.0,2,0.0,0.0
3500750,46.0,3,12.592592592592593,15.217391304347826
3500790,20.0,2,3.571428571428571,5.0
3500810,276.0,3,0.6116207951070337,0.7246376811594203
3500840,13.0,2,0.0,0.0
3500900,387.0,13,0.15681073490404118,0.5167958656330749
3500930,142.0,5,5.309803921568628,7.746478873239437
3500960,86.0,3,5.751633986928105,4.651162790697675
3500990,2004.0,19,3.449308417587291,3.6926147704590817
3501020,56.0,3,0.0,0.0
3501050,36.0,3,20.512820512820515,19.444444444444443
3501080,2320.0,23,2.0281942436606952,2.1982758620689653
3501110,4091.0,34,6.87197959755617,7.333170373991689
3501140,8.0,3,0.0,0.0
3501170,975.0,11,0.0,0.0
3501200,57.0,3,0.0,0.0
3501230,271.0,5,9.419677070093677,3.3210332103321027
3501260,2103.0,18,0.1022519682493493,0.14265335235378032
3501290,25.0,2,0.0,0.0
3501320,12.0,3,0.0,0.0
3501350,65.0,3,3.7698412698412693,4.615384615384615
3501380,21.0,4,1.7857142857142856,4.761904761904762
3501410,143.0,4,0.0,0.0
3501470,24.0,3,0.0,0.0
3501500,2709.0,40,5.752779838910152,6.312292358803987
3501530,208.0,6,5.341478696741855,1.4423076923076923
3501560,294.0,10,1.8176070807649753,1.7006802721088434
3501590,22.0,3,0.0,0.0
3501620,103.0,4,16.660938727415555,19.41747572815534
3501650,669.0,8,0.0,0.0
3501680,1450.0,16,4.241750314367304,3.9999999999999996
3501710,7.0,1,0.0,0.0
3501740,575.0,10,2.4104490823158673,2.4347826086956523
3501770,85.0,3,22.996089931573803,23.529411764705884
3501800,15.0,3,0.0,0.0
3501830,32.0,2,0.0,0.0
3501860,60.0,4,0.0,0.0
3501890,669.0,6,11.356272759498566,10.762331838565023
3501920,4.0,2,0.0,0.0
3501950,67.0,3,0.0,0.0
3501980,64.0,4,1.0869565217391304,1.5625
3502010,88.0,3,4.7727272727272725,3.409090909090909
3502040,61.0,3,0.0,0.0
3502070,515.0,5,0.5128205128205128,0.9708737864077669
3502100,353.0,6,0.5748663101604278,0.56657223796034
3502130,42.0,3,0.0,0.0
3502160,10.0,3,38.888888888888886,20.0
3502190,446.0,3,0.0,0.0
3502220,31.0,2,0.0,0.0
3502250,1827.0,20,2.4282402829777645,2.681992337164751
3502280,7.0,1,0.0,0.0
3502310,604.0,5,2.8453114499626126,2.6490066225165565
3502340,3.0,2,0.0,0.0
3502370,3772.0,28,12.392137038139174,12.195121951219512
3502400,61.0,5,0.0,0.0
3502430,580.0,9,0.8239122228759534,0.8620689655172413
3502460,272.0,7,3.5969473734893347,4.779411764705882
3502490,18.0,3,0.0,0.0
3502520,584.0,10,2.042572840721407,1.8835616438356164
3502550,15.0,3,0.0,0.0
3502580,54.0,3,0.0,0.0
3502610,408.0,5,14.129282603772648,13.970588235294118
3502640,202.0,3,0.33003300330033003,0.49504950495049505
3502670,262.0,4,0.0,0.0
3502730,10.0,2,0.0,0.0
3502800,415.0,4,0.0,0.0
3600003,70.0,2,13.075657894736842,12.857142857142858
3600004,170.0,1,4.117647058823529,4.117647058823529
3600005,143.0,2,3.6095727848101267,3.4965034965034967
3600008,1225.0,6,10.985832930327438,11.428571428571429
3600010,108.0,1,1.8518518518518516,1.8518518518518516
3600011,83.0,1,3.614457831325301,3.6144578313253004
3600012,133.0,1,3.007518796992481,3.007518796992481
3600013,225.0,3,8.128154487601492,4.444444444444445
3600014,299.0,4,10.864595420437842,12.040133779264215
3600016,113.0,1,3.5398230088495577,3.5398230088495577
3600017,152.0,1,1.3157894736842104,1.3157894736842104
3600019,150.0,2,3.891402714932127,4.0
3600020,68.0,1,7.352941176470589,7.352941176470589
3600023,129.0,1,3.875968992248062,3.875968992248062
3600024,60.0,1,6.666666666666667,6.666666666666667
3600025,309.0,1,1.6181229773462782,1.6181229773462782
3600026,255.0,1,12.941176470588237,12.941176470588237
3600035,120.0,1,3.3333333333333335,3.3333333333333335
3600038,156.0,1,1.282051282051282,1.282051282051282
3600039,58.0,1,15.517241379310345,15.517241379310345
3600042,72.0,1,13.88888888888889,13.88888888888889
3600046,34.0,1,5.88235294117647,5.88235294117647
3600047,64.0,1,15.625,15.625
3600048,141.0,1,13.47517730496454,13.47517730496454
3600049,28.0,1,14.285714285714285,14.285714285714286
3600053,374.0,1,10.962566844919785,10.962566844919783
3600055,109.0,1,6.422018348623854,6.422018348623855
3600059,52.0,1,7.6923076923076925,7.6923076923076925
3600061,73.0,1,31.506849315068493,31.506849315068493
3600063,75.0,1,21.333333333333336,21.333333333333336
3600066,35.0,1,20.0,20.0
3600068,122.0,1,17.21311475409836,17.21311475409836
3600070,161.0,1,4.968944099378882,4.968944099378882
3600071,188.0,1,1.0638297872340425,1.0638297872340425
3600076,3068.0,28,21.342825569656693,22.09908735332464
3600077,14533.0,87,15.331477315283749,15.062272070460331
3600078,5124.0,39,19.150399380779966,18.32552693208431
3600079,3633.0,27,23.29189799559277,24.139829342141482
3600080,124.0,1,16.93548387096774,16.93548387096774
3600081,4386.0,27,26.85966238664043,26.607387140902873
3600083,6027.0,45,23.690543704118678,22.28305956528953
3600084,8644.0,41,22.92976864182387,23.195279962980102
3600085,11562.0,54,20.082076080398586,20.48088565992043
3600086,13400.0,66,28.659656371726683,30.350746268656717
3600087,17774.0,82,25.24653476411275,25.059075053448858
3600088,12454.0,62,19.078526563637553,19.447567046731972
3600089,70.0,1,7.142857142857142,7.142857142857142
3600090,10305.0,49,25.0132658442735,25.055798156234836
3600091,5450.0,38,16.6126714897062,14.587155963302752
3600092,5886.0,38,13.184724549932673,12.55521576622494
3600094,3248.0,24,24.55171979336426,22.690886699507388
3600095,7080.0,49,22.16231843673691,21.55367231638418
3600096,5309.0,33,15.343457462576692,15.181766811075532
3600097,3604.0,26,23.215528606204035,22.058823529411764
3600098,10495.0,54,13.913407327367837,13.311100524059075
3600099,4431.0,24,7.116228968091622,6.9058903182125935
3600100,9581.0,43,13.372799520371299,12.326479490658595
3600101,7815.0,45,16.359388685373116,17.428023032629557
3600102,7346.0,42,14.601173730149894,13.340593520283146
3600103,15003.0,61,9.887831087601656,10.264613743917883
3600104,117.0,1,3.418803418803419,3.418803418803419
3600106,126.0,1,7.142857142857142,7.142857142857142
3600108,102.0,1,27.450980392156865,27.45098039215686
3600109,108.0,1,10.185185185185185,10.185185185185185
3600110,34.0,1,29.411764705882355,29.411764705882355
3600111,140.0,1,6.428571428571428,6.428571428571428
3600112,140.0,1,10.0,10.0
3600115,404.0,1,6.435643564356436,6.435643564356436
3600116,146.0,1,21.232876712328768,21.232876712328768
3600118,45.0,1,13.333333333333334,13.333333333333334
3600119,5417.0,34,19.3017525397261,17.98043197341702
3600120,9373.0,48,20.875306874098513,21.11383761869199
3600121,4555.0,28,25.7970050143139,27.574094401756312
3600122,7179.0,39,9.484847450961995,9.639225518874495
3600123,12884.0,57,12.01032554873812,12.20117975783918
3600125,64.0,1,7.8125,7.8125
3600138,147.0,1,22.448979591836736,22.448979591836736
3600139,64.0,1,39.0625,39.0625
3600140,113.0,1,27.43362831858407,27.43362831858407
3600141,146.0,1,17.123287671232877,17.123287671232877
3600144,117.0,1,22.22222222222222,22.22222222222222
3600150,119.0,1,14.285714285714285,14.285714285714283
3600151,8099.0,35,9.544132937905395,9.17397209532041
3600152,8893.0,36,10.685166777702491,10.536376925671878
3600153,6482.0,34,14.958159313567606,14.193150262264734
3600157,44.0,1,15.909090909090908,15.909090909090908
3600158,71.0,1,12.676056338028168,12.676056338028168
3600161,28.0,1,25.0,25.0
3600162,197.0,1,5.583756345177665,5.583756345177665
3600163,62.0,1,8.064516129032258,8.064516129032258
3600165,33.0,1,15.151515151515152,15.151515151515152
3600167,98.0,1,13.26530612244898,13.26530612244898
3600943,51.0,1,11.76470588235294,11.764705882352942
3600949,41.0,1,7.317073170731707,7.317073170731708
3600956,71.0,1,14.084507042253522,14.084507042253522
3600957,7.0,1,28.57142857142857,28.571428571428573
3600958,42.0,1,23.809523809523807,23.809523809523807
3600959,74.0,1,6.756756756756757,6.756756756756757
3600960,67.0,1,43.28358208955223,43.28358208955223
3600961,39.0,1,25.64102564102564,25.64102564102564
3600963,30.0,1,16.666666666666664,16.666666666666664
3600966,107.0,1,10.2803738317757,10.280373831775698
3600989,105.0,1,12.380952380952381,12.380952380952381
3600990,76.0,1,6.578947368421052,6.578947368421052
3600992,152.0,1,5.263157894736842,5.263157894736842
3600994,49.0,1,24.489795918367346,24.489795918367346
3600996,143.0,1,2.797202797202797,2.797202797202797
3600998,108.0,1,11.11111111111111,11.11111111111111
3601001,48.0,1,18.75,18.75
3601002,86.0,1,11.627906976744185,11.627906976744185
3601004,117.0,1,5.982905982905983,5.982905982905983
3601010,124.0,1,18.548387096774192,18.548387096774192
3601013,104.0,1,11.538461538461538,11.538461538461538
3601014,29.0,1,13.793103448275861,13.793103448275861
3601015,134.0,1,11.194029850746269,11.194029850746269
3601017,30.0,1,16.666666666666664,16.666666666666664
3601018,209.0,1,5.263157894736842,5.2631578947368425
3601022,181.0,1,2.7624309392265194,2.7624309392265194
3601023,53.0,1,24.528301886792452,24.528301886792452
3601024,106.0,1,3.7735849056603774,3.7735849056603774
3601025,58.0,1,12.068965517241379,12.068965517241379
3601027,155.0,1,10.967741935483872,10.967741935483872
3601029,161.0,1,23.60248447204969,23.60248447204969
3601030,118.0,1,24.576271186440678,24.576271186440678
3601034,46.0,1,10.869565217391305,10.869565217391305
3601040,165.0,1,1.8181818181818181,1.8181818181818181
3601041,160.0,1,15.0,15.0
3601043,243.0,1,18.106995884773664,18.106995884773664
3601044,84.0,1,15.476190476190476,15.476190476190476
3601047,156.0,1,3.205128205128205,3.205128205128205
3601049,28.0,1,7.142857142857142,7.142857142857143
3601050,39.0,1,23.076923076923077,23.076923076923077
3601052,31.0,1,9.67741935483871,9.67741935483871
3601057,104.0,1,19.230769230769234,19.230769230769234
3601058,82.0,1,18.29268292682927,18.29268292682927
3601059,38.0,1,13.157894736842104,13.157894736842104
3601061,154.0,1,13.636363636363635,13.636363636363637
3601064,89.0,1,14.606741573033707,14.606741573033707
3601065,218.0,1,12.385321100917432,12.385321100917432
3601067,138.0,1,21.73913043478261,21.73913043478261
3601070,91.0,1,16.483516483516482,16.483516483516482
