LEAID,absent_rate,log_enrolled,grad_rate
500019,5.3301029678982434,8.102283624480073,94.0
500026,28.236224624307937,8.2409125416889,74.0
500028,22.675879396984925,7.3727463664043285,95.0
500042,23.88216728037875,7.550135342488429,92.0
500043,22.75525910723448,8.268218880067506,87.0
500044,15.446304044630404,7.961370201719511,87.0
500047,16.068167985392577,7.404279118037268,82.0
500049,17.96456530696333,7.794411205726601,82.0
500394,6.819288845591817,7.627057417018934,77.0
500398,23.819197562214324,7.585281078639126,95.0
500419,19.367319071461083,8.387995252944556,83.0
502250,19.025450031036623,8.07775756373692,95.0
502430,15.92775041050903,7.510430556378006,92.0
502580,16.195190947666198,7.254177846456518,92.0
502700,21.398124467178175,7.067319848653476,92.0
502790,15.865662999420962,7.454141078146678,92.0
502880,11.63133097762073,8.130353547431238,86.0
502960,19.267930137495355,8.590815331286851,95.0
503030,6.146025878003697,7.679713639966372,87.0
503060,15.122413895310928,9.733232896960311,94.0
503150,15.874620829120325,7.589841512182657,87.0
503320,32.18225419664268,7.642524134232902,87.0
503450,19.921875,7.154615356913663,95.0
503640,15.2561669829222,7.876638460975463,95.0
503690,16.594641313742436,9.133027268873512,92.0
503750,17.72550472309687,9.287116210778231,91.0
504020,13.66988088485536,7.47477218239787,92.0
504380,23.365570599613154,7.85748078694253,92.0
504590,20.26251823043267,9.238441802087058,89.0
504800,14.806629834254142,7.501082124259871,87.0
504930,12.291786329695578,7.462214939768189,87.0
505500,14.605873261205565,7.165493475060845,87.0
505680,19.359927879197656,8.39773375137891,93.0
505760,7.487922705314009,7.124478262493424,95.0
506060,17.514563106796118,7.853604813097837,87.0
506090,14.834276475343572,7.813591552952433,95.0
506120,13.85921118322516,9.211839248099919,92.0
506270,13.11034217608612,7.8636512654486515,87.0
506330,16.94307182021255,9.600556469321608,89.0
506420,15.084175084175085,7.3031700512368,92.0
506840,16.186485070717655,7.554334823725748,82.0
506900,32.462791350744176,8.177796683277778,95.0
506990,13.97877297437225,8.259199362666282,98.0
507320,13.312693498452012,7.163946684342547,92.0
507380,15.168752370117558,7.877397186353287,92.0
507560,11.55449672424062,7.425953657077541,82.0
507680,28.11808118081181,7.2115567333138015,82.0
507770,16.24923640806353,7.400620577371135,92.0
507840,18.073316283034956,7.76046702921342,77.0
507890,19.9244060475162,8.21716859576607,74.0
508040,41.62317797372683,8.622813673279921,89.0
508130,10.77396657871592,7.729295674310482,82.0
508280,32.61272390364422,8.775858314797526,87.0
508400,18.00302571860817,7.186901020411631,87.0
508610,15.491381240205952,8.404472321352118,84.0
508670,22.810931399888453,8.184792654165078,87.0
508940,7.823960880195599,7.112327444710911,87.0
509000,29.132188448584134,10.087848694627853,82.0
509060,9.983633387888707,7.513709247839705,92.0
509240,12.32876712328767,7.468513271496337,92.0
509390,24.80397281756403,8.249575150000199,88.0
509540,13.996478873239438,7.035268599281097,87.0
509750,16.61824520627542,7.450660796211539,95.0
509840,17.367088607594937,7.5883236773352225,95.0
510200,11.071640023682653,7.4318919168078,95.0
510380,16.916709777547855,7.566828479208331,95.0
510440,15.274532710280376,8.138564737261632,95.0
510680,21.352272727272727,9.082507000466299,78.0
511010,19.09042834479112,7.544861068658458,95.0
511130,19.30783242258652,7.001245622069476,95.0
511610,8.601633829889476,7.640603826393634,92.0
511700,8.270238788584741,7.448333860897476,92.0
511760,14.80908152734778,7.569411792450712,92.0
511850,28.27608142493639,9.439545514668987,85.0
511970,16.04167966556436,9.682030078993575,87.0
512060,19.237117183201907,8.60392119492606,93.0
512210,16.078812940890295,8.321421586897879,89.0
512450,17.081447963800905,8.393894975071744,90.0
512520,11.548442906574396,7.7458682297922685,87.0
512540,5.405405405405405,7.6362696033793735,87.0
512660,11.053671247846005,10.077146698751429,86.0
512960,12.995049504950495,7.38770923908104,87.0
513080,14.56386292834891,8.256347772918016,95.0
513110,25.062203121465732,8.394121193826242,83.0
513380,19.15667030170847,7.919719760924575,95.0
513410,14.346934972983044,8.588024372176829,87.0
513530,14.142029868942396,8.0959035329611,95.0
513930,17.062719127386053,7.8504931808711405,92.0
514140,22.7008547008547,7.981049759665957,87.0
514430,15.361999264976111,7.908754738783246,91.0
600013,8.602776161582579,9.395241931033524,97.0
600014,17.300658376005853,9.99296255896373,91.0
600016,11.635077536954748,9.308102089758679,95.0
600017,17.79746638688117,9.46242117318499,87.0
600019,4.631020768890853,9.333884558067638,95.0
