LEAID,grad_rate,chron_absent,enrolled,absent_rate
602820,82.0,5141.0,21372.0,24.054838105933
602850,80.0,3592.0,16653.0,21.569687143457635
602970,98.0,433.0,9461.0,4.5766832258746435
603030,91.0,404.0,1618.0,24.969097651421507
603300,94.0,628.0,4759.0,13.196049590250054
603600,90.0,871.0,8403.0,10.365345709865524
603690,93.0,1202.0,12918.0,9.304845951385664
603840,69.0,968.0,4551.0,21.27005053834322
604020,80.0,1812.0,6387.0,28.370126820103337
604110,94.0,390.0,3604.0,10.821309655937847
604230,87.0,488.0,2503.0,19.496604075109868
604290,92.0,1343.0,10048.0,13.365843949044589
604440,90.0,1434.0,12127.0,11.824853632390534
604620,96.0,431.0,4948.0,8.710590137429264
604740,86.0,954.0,9744.0,9.79064039408867
604830,95.0,384.0,3924.0,9.785932721712538
605610,93.0,909.0,9635.0,9.434353918007265
605820,94.0,407.0,1859.0,21.89349112426036
605880,97.0,399.0,5900.0,6.76271186440678
605940,92.0,117.0,686.0,17.05539358600583
606450,92.0,1425.0,15135.0,9.41526263627354
606780,93.0,331.0,3205.0,10.32761310452418
606870,90.0,622.0,2905.0,21.411359724612737
606900,84.0,1895.0,9255.0,20.475418692598595
607230,89.0,1012.0,8527.0,11.868183417380086
607440,96.0,4498.0,46492.0,9.674782758324014
607500,95.0,926.0,11317.0,8.182380489529027
607530,96.0,306.0,2590.0,11.814671814671817
607560,92.0,229.0,2207.0,10.376076121431808
607800,95.0,756.0,9304.0,8.125537403267412
607900,89.0,766.0,4178.0,18.334131163236
607920,88.0,1398.0,6311.0,22.15179844715576
607970,86.0,2513.0,15902.0,15.803043642309143
608010,90.0,500.0,4072.0,12.278978388998036
608130,85.0,1881.0,15210.0,12.366863905325443
608160,89.0,3088.0,23885.0,12.9286162863722
608190,96.0,503.0,4811.0,10.455206817709415
608370,89.0,1690.0,12568.0,13.446849140674727
608460,92.0,2268.0,28174.0,8.049975154397671
608550,87.0,233.0,1129.0,20.637732506643047
608760,94.0,593.0,7194.0,8.242980261328885
608970,87.0,201.0,1429.0,14.065780265920225
609030,93.0,3798.0,44118.0,8.608731130150959
609070,81.0,3091.0,16421.0,18.823457767492844
609120,79.0,669.0,4273.0,15.656447460800374
609390,86.0,3156.0,22191.0,14.221981884547793
609570,82.0,196.0,1506.0,13.01460823373174
609620,82.0,3907.0,22546.0,17.32901623347822
609640,95.0,1300.0,18779.0,6.922626337930667
609690,87.0,484.0,3319.0,14.582705634227178
609810,90.0,163.0,966.0,16.873706004140786
609850,94.0,4565.0,53634.0,8.511392027445277
609870,93.0,202.0,3141.0,6.431072906717605
609940,77.0,658.0,5885.0,11.180968564146134
610050,96.0,1247.0,11813.0,10.55616693473292
610260,93.0,588.0,7034.0,8.359397213534262
610350,85.0,395.0,4152.0,9.51348747591522
610620,93.0,742.0,8616.0,8.61188486536676
610770,91.0,866.0,3625.0,23.889655172413793
610860,95.0,681.0,4313.0,15.789473684210526
611110,90.0,4790.0,28368.0,16.885222786238014
611280,81.0,435.0,3266.0,13.319044703000612
611460,95.0,2602.0,21967.0,11.845040287704284
611520,90.0,335.0,3749.0,8.935716190984262
611820,86.0,3559.0,23089.0,15.414266533847288
612070,94.0,820.0,6644.0,12.3419626730885
612120,85.0,1203.0,8835.0,13.616298811544992
612180,93.0,977.0,8627.0,11.324910165758665
612210,96.0,199.0,3474.0,5.728267127230858
612330,92.0,7126.0,63971.0,11.139422550843353
612840,95.0,175.0,2557.0,6.8439577630035195
612910,83.0,877.0,7444.0,11.78130037614186
613360,80.0,3003.0,21550.0,13.93503480278422
613530,84.0,450.0,2162.0,20.814061054579096
613800,91.0,349.0,3867.0,9.025084044478923
613840,92.0,121.0,2260.0,5.353982300884956
613890,91.0,2173.0,20600.0,10.54854368932039
613920,90.0,4243.0,38939.0,10.89653047073628
614070,82.0,357.0,1848.0,19.318181818181817
614190,75.0,267.0,1080.0,24.72222222222222
614250,95.0,209.0,2604.0,8.026113671274961
614400,94.0,2196.0,35900.0,6.116991643454039
614430,95.0,726.0,11096.0,6.542898341744772
614550,86.0,14741.0,73735.0,19.99186275174612
614760,93.0,1875.0,13878.0,13.510592304366623
614820,96.0,374.0,2191.0,17.069831127339114
614880,90.0,3522.0,43152.0,8.161846496106785
614950,82.0,556.0,2318.0,23.986194995685935
615180,89.0,1593.0,11278.0,14.124844830643733
615240,90.0,1855.0,26373.0,7.033708717248702
615270,97.0,487.0,7359.0,6.617746976491371
616230,82.0,3511.0,21255.0,16.518466243236883
616323,95.0,269.0,1861.0,14.454594304137562
616325,93.0,1686.0,18470.0,9.128316188413644
616500,92.0,598.0,3792.0,15.770042194092824
616740,79.0,3320.0,20332.0,16.328939602596893
616920,87.0,4786.0,21984.0,21.77037845705968
617220,95.0,196.0,2387.0,8.211143695014663
617430,92.0,137.0,1577.0,8.687381103360812
618060,91.0,1752.0,16174.0,10.83219982688265
618210,95.0,181.0,4075.0,4.441717791411043
618390,86.0,1561.0,9085.0,17.182168409466154
618930,87.0,745.0,4315.0,17.265353418308226
618990,87.0,310.0,1447.0,21.423635107118173
619260,91.0,2533.0,18934.0,13.378050068659556
619320,87.0,363.0,1690.0,21.4792899408284
619490,89.0,455.0,5049.0,9.011685482273718
619540,89.0,6440.0,39201.0,16.428152343052474
619650,83.0,405.0,2307.0,17.555266579973992
619700,78.0,849.0,9799.0,8.664149403000305
619830,90.0,173.0,1158.0,14.939550949913643
620070,58.0,1176.0,3416.0,34.42622950819672
620130,97.0,141.0,4184.0,3.369980879541109
620370,96.0,314.0,2939.0,10.683906090506976
620640,85.0,756.0,3909.0,19.33998465080583
620670,95.0,305.0,1512.0,20.17195767195767
621000,95.0,863.0,11299.0,7.637844056996195
621060,87.0,149.0,824.0,18.08252427184466
621270,92.0,91.0,499.0,18.236472945891784
621400,92.0,319.0,1958.0,16.292134831460675
621600,90.0,1409.0,8205.0,17.172455819622183
621690,92.0,1399.0,9402.0,14.879812805786004
621810,95.0,261.0,2252.0,11.589698046181171
621870,90.0,382.0,4447.0,8.590060715088823
622050,95.0,263.0,1844.0,14.262472885032537
622110,95.0,962.0,13747.0,6.997890448825199
622230,85.0,4449.0,29435.0,15.114659419058944
622410,88.0,1593.0,9709.0,16.407456998661036
622500,85.0,10864.0,75029.0,14.479734502658973
622590,98.0,398.0,9820.0,4.05295315682281
622710,77.0,70826.0,511129.0,13.856775882409334
622740,96.0,1760.0,10474.0,16.803513461905673
622800,97.0,231.0,3409.0,6.7761806981519515
623080,93.0,1173.0,10564.0,11.103748580083302
623160,83.0,2725.0,14851.0,18.348932731802577
623340,88.0,2836.0,20492.0,13.839547140347452
623610,93.0,3055.0,23854.0,12.807076381319696
623940,87.0,414.0,1679.0,24.65753424657534
624030,90.0,423.0,4104.0,10.307017543859647
624090,82.0,1546.0,9651.0,16.01906538182572
624230,94.0,438.0,3542.0,12.365894974590628
624500,95.0,798.0,10306.0,7.743062293809431
624660,91.0,2011.0,10487.0,19.176122818727947
624750,95.0,240.0,1424.0,16.853932584269664
625150,87.0,3341.0,15085.0,22.147828969174675
625230,87.0,812.0,2840.0,28.591549295774648
625320,89.0,721.0,5460.0,13.205128205128206
625530,91.0,1466.0,9760.0,15.020491803278688
625690,93.0,465.0,6302.0,7.378609965090448
625800,89.0,6415.0,33198.0,19.323453220073496
625830,86.0,1296.0,8506.0,15.236303785563132
625860,81.0,2005.0,8664.0,23.14173591874423
626310,93.0,492.0,4292.0,11.46318732525629
626370,86.0,3973.0,31138.0,12.759329436701137
626490,95.0,345.0,1763.0,19.568916619398752
626640,87.0,2080.0,17802.0,11.684080440399956
626880,89.0,1277.0,2545.0,50.176817288801566
