LEAID,chron_absent,enrolled,absent_rate
400399,26.0,162.0,16.049382716049383
400401,108.0,209.0,51.674641148325364
400406,37.0,546.0,6.7765567765567765
400407,92.0,333.0,27.627627627627625
400409,50.0,159.0,31.446540880503143
400413,47.0,527.0,8.918406072106261
400414,50.0,113.0,44.24778761061947
400415,133.0,373.0,35.656836461126005
400417,107.0,458.0,23.362445414847162
400419,11.0,15.0,73.33333333333333
400423,173.0,180.0,96.11111111111111
400424,141.0,815.0,17.300613496932517
400425,121.0,698.0,17.335243553008596
400426,37.0,147.0,25.170068027210885
400429,90.0,472.0,19.06779661016949
400438,208.0,811.0,25.64734895191122
400439,84.0,197.0,42.63959390862944
400440,49.0,733.0,6.684856753069577
400441,84.0,395.0,21.265822784810126
400442,23.0,132.0,17.424242424242426
400444,88.0,258.0,34.10852713178294
400445,203.0,466.0,43.56223175965665
400446,86.0,288.0,29.86111111111111
400447,64.0,402.0,15.92039800995025
400448,33.0,56.0,58.92857142857143
400450,2048.0,8026.0,25.51706952404685
400463,48.0,300.0,16.0
400480,19.0,151.0,12.582781456953644
400520,158.0,448.0,35.267857142857146
400600,4233.0,12689.0,33.359602805579634
400608,146.0,1156.0,12.629757785467127
400610,150.0,886.0,16.93002257336343
400614,42.0,169.0,24.85207100591716
400616,33.0,63.0,52.38095238095239
400619,119.0,498.0,23.895582329317268
400621,87.0,117.0,74.35897435897436
400625,87.0,163.0,53.37423312883436
400626,23.0,69.0,33.33333333333333
400630,10.0,60.0,16.666666666666664
400632,172.0,363.0,47.38292011019284
400637,67.0,270.0,24.814814814814813
400638,77.0,784.0,9.821428571428571
400640,36.0,109.0,33.02752293577982
400641,180.0,235.0,76.59574468085107
400649,149.0,987.0,15.096251266464034
400650,3.0,44.0,6.8181818181818175
400653,81.0,380.0,21.31578947368421
400655,107.0,723.0,14.79944674965422
400680,4111.0,13935.0,29.501255830642272
400720,44.0,203.0,21.67487684729064
400745,118.0,1150.0,10.26086956521739
400746,672.0,3477.0,19.327006039689387
400747,64.0,861.0,7.4332171893147505
400748,22.0,120.0,18.333333333333332
400750,1.0,8.0,12.5
400751,10.0,111.0,9.00900900900901
400754,99.0,399.0,24.81203007518797
400755,70.0,546.0,12.82051282051282
400756,88.0,194.0,45.36082474226804
400757,51.0,558.0,9.13978494623656
400758,21.0,579.0,3.6269430051813467
400760,33.0,552.0,5.978260869565218
400763,75.0,673.0,11.144130757800893
400764,64.0,397.0,16.120906801007557
400766,194.0,637.0,30.4552590266876
400769,270.0,526.0,51.33079847908745
400770,54.0,362.0,14.917127071823206
400771,5.0,81.0,6.172839506172839
400774,48.0,313.0,15.335463258785943
400775,351.0,793.0,44.26229508196721
400776,87.0,356.0,24.43820224719101
400778,70.0,510.0,13.725490196078432
400780,191.0,570.0,33.50877192982456
400781,100.0,648.0,15.432098765432098
400782,14.0,85.0,16.470588235294116
400783,100.0,381.0,26.246719160104988
400785,93.0,176.0,52.84090909090909
400786,160.0,360.0,44.44444444444444
400787,116.0,268.0,43.28358208955223
400788,54.0,167.0,32.33532934131736
400789,102.0,194.0,52.57731958762887
400790,1391.0,3666.0,37.94326241134752
400792,67.0,199.0,33.66834170854271
400793,31.0,295.0,10.508474576271185
400796,67.0,227.0,29.515418502202646
400798,80.0,565.0,14.15929203539823
400799,26.0,148.0,17.56756756756757
400800,502.0,3063.0,16.389160953313745
400801,44.0,155.0,28.387096774193548
400802,76.0,238.0,31.932773109243694
400803,277.0,844.0,32.81990521327014
400805,86.0,848.0,10.141509433962264
400807,61.0,176.0,34.659090909090914
400810,39.0,167.0,23.353293413173652
400815,31.0,102.0,30.392156862745097
400817,20.0,62.0,32.25806451612903
400818,32.0,566.0,5.6537102473498235
400819,92.0,803.0,11.45703611457036
400820,84.0,166.0,50.602409638554214
400822,68.0,299.0,22.74247491638796
400823,97.0,341.0,28.445747800586513
400824,181.0,732.0,24.726775956284154
400828,44.0,443.0,9.932279909706546
400829,60.0,837.0,7.168458781362006
400830,55.0,963.0,5.711318795430945
400831,94.0,633.0,14.84992101105845
400832,32.0,536.0,5.970149253731343
400833,54.0,540.0,10.0
400834,26.0,534.0,4.868913857677903
400838,31.0,236.0,13.135593220338984
400840,52.0,281.0,18.505338078291814
400841,9.0,415.0,2.1686746987951806
400842,170.0,1204.0,14.119601328903656
400843,64.0,796.0,8.040201005025125
400844,28.0,121.0,23.140495867768596
400845,63.0,357.0,17.647058823529413
400846,96.0,228.0,42.10526315789473
400847,123.0,1320.0,9.318181818181818
400848,44.0,122.0,36.0655737704918
400849,65.0,233.0,27.896995708154503
400850,129.0,644.0,20.031055900621116
400851,49.0,742.0,6.60377358490566
400852,48.0,267.0,17.97752808988764
400853,143.0,279.0,51.25448028673835
400854,12.0,56.0,21.428571428571427
400855,144.0,1175.0,12.25531914893617
400857,34.0,394.0,8.629441624365482
400858,119.0,385.0,30.909090909090907
400859,24.0,275.0,8.727272727272728
400861,50.0,399.0,12.531328320802004
400862,26.0,109.0,23.853211009174313
400863,170.0,624.0,27.24358974358974
400864,58.0,533.0,10.881801125703564
400866,40.0,541.0,7.393715341959335
400867,41.0,289.0,14.186851211072666
400868,35.0,146.0,23.972602739726025
400870,8.0,18.0,44.44444444444444
400871,221.0,1125.0,19.644444444444446
400872,81.0,116.0,69.82758620689656
400873,86.0,824.0,10.436893203883495
400875,49.0,489.0,10.020449897750511
400876,43.0,219.0,19.63470319634703
400877,279.0,688.0,40.55232558139535
400878,117.0,990.0,11.818181818181818
400879,11.0,172.0,6.395348837209303
400880,171.0,333.0,51.35135135135135
400881,140.0,904.0,15.486725663716813
400882,23.0,92.0,25.0
400884,36.0,298.0,12.080536912751679
400885,43.0,398.0,10.804020100502512
400886,42.0,533.0,7.879924953095685
400887,153.0,381.0,40.15748031496063
400888,50.0,536.0,9.328358208955224
400889,31.0,73.0,42.465753424657535
400890,64.0,355.0,18.028169014084508
400891,182.0,526.0,34.60076045627377
400892,114.0,1151.0,9.904430929626413
400893,33.0,154.0,21.428571428571427
400894,82.0,187.0,43.85026737967914
400895,125.0,567.0,22.045855379188712
